------------------------------
ID: 20347018_2217918
Report type: position_tracking_rankings_overview
Period: 20240828 - 20260309
------------------------------

Keyword,*.attackacrack.com/*_20260309,*.attackacrack.com/*_20260309_visibility,*.attackacrack.com/*_20260309_type,*.attackacrack.com/*_20260309_landing,*.attackacrack.com/*_difference,*.attackacrack.com/*_visibility_difference,*.a1foundationcrackrepair.com/*_20260309,*.a1foundationcrackrepair.com/*_20260309_visibility,*.a1foundationcrackrepair.com/*_20260309_type,*.a1foundationcrackrepair.com/*_20260309_landing,*.a1foundationcrackrepair.com/*_difference,*.a1foundationcrackrepair.com/*_visibility_difference,*.crackx.com/*_20260309,*.crackx.com/*_20260309_visibility,*.crackx.com/*_20260309_type,*.crackx.com/*_20260309_landing,*.crackx.com/*_difference,*.crackx.com/*_visibility_difference,*.groundworks.com/*_20260309,*.groundworks.com/*_20260309_visibility,*.groundworks.com/*_20260309_type,*.groundworks.com/*_20260309_landing,*.groundworks.com/*_difference,*.groundworks.com/*_visibility_difference,Tags,Intents,CPC,Search Volume,Keyword Difficulty
foundation repair,-,0.00000,,,-,0.00000,18,0.01327,organic,https://www.a1foundationcrackrepair.com/,82,0.01327,-,0.00000,,,-,0.00000,19,0.01291,organic,https://www.groundworks.com/service-areas/foundation-repair-hingham-ma/,81,0.01291,,c,13.12,110,59
foundation repair boston,-,0.00000,,,-,0.00000,27,0.01033,organic,https://www.a1foundationcrackrepair.com/,-6,-0.00141,-,0.00000,,,-,0.00000,24,0.01104,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,76,0.01104,tracking,c,17.30,90,19
foundation repair coating,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,41,0.00704,organic,https://crackx.com/natick-massachusetts/,59,0.00704,21,0.01174,organic,https://www.groundworks.com/glossary/tar-coating/,79,0.01174,tracking,c,n/a,n/a,37
foundation repair methods,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,18,0.01327,organic,https://crackx.com/a-comprehensive-guide-to-different-foundation-repair-methods/,82,0.01327,31,0.00939,organic,https://www.groundworks.com/resources/slab-foundation-leveling-what-to-know/,69,0.00939,,i,n/a,10,16
foundation repair near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,7,0.04461,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,48,0.03921,tracking,t,16.02,90,50
foundation repair options,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/a-comprehensive-guide-to-different-foundation-repair-methods/,99,0.42735,12,0.01761,organic,https://www.groundworks.com/resources/top-4-foundation-repair-solutions/,88,0.01761,,i,n/a,10,20
foundation repairs near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,20,0.01233,organic,https://www.groundworks.com/locations/groundworks-boston/,60,0.00986,tracking,t,16.02,90,44
foundation specialists near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,10,0.02583,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,90,0.02583,tracking,t,n/a,10,30
foundation waterproofing near me,-,0.00000,,,-,0.00000,25,0.01080,organic,https://www.a1foundationcrackrepair.com/,75,0.01080,-,0.00000,,,-,0.00000,4,0.09275,ai overview,https://www.groundworks.com/service-areas/basement-waterproofing-kinston-nc/,96,0.09275,tracking,t,18.37,90,33
foundations repair near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,12,0.01761,organic,https://www.groundworks.com/service-areas/foundation-repair-newton-center-ma/,88,0.01761,tracking,t,16.02,90,39
free basement inspection,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/locations/groundworks-boston/,99,0.42735,,i,n/a,10,31
frost heave sign,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,67,0.00399,organic,https://crackx.com/a-comprehensive-guide-to-frost-heave-and-its-prevention/,33,0.00399,65,0.00423,organic,https://www.groundworks.com/resources/frost-heaves-bozeman/,35,0.00423,,i,n/a,10,15
hairline cracks in walls,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,35
horizontal crack in foundation,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,53,0.00564,organic,https://crackx.com/horizontal-cracks/,47,0.00564,62,0.00458,organic,https://www.groundworks.com/resources/horizontal-versus-vertical-foundation-cracks-new-england/,38,0.00458,,i,n/a,10,8
house foundation repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,26,0.01057,organic,https://www.groundworks.com/resources/ultimate-guide-foundation-repair/,74,0.01057,,c,6.87,20,36
how do you fix a cracked foundation,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,30,0.00963,organic,https://crackx.com/fix-cracks-in-a-foundation-wall/,70,0.00963,12,0.01761,organic,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,88,0.01761,,i,n/a,10,30
how to fix a foundation crack,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,10,33
how to fix a large vertical crack in concrete steps,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,61,0.00470,organic,https://crackx.com/a-guide-to-repairing-concrete-floor-pits-and-cracks/,39,0.00470,-,0.00000,,,-,0.00000,,i,n/a,n/a,25
how to fix foundation crack,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,84,0.00200,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,16,0.00200,,i,n/a,n/a,31
how to fix foundation cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,n/a,29
how to repair basement wall cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,62,0.00458,organic,https://crackx.com/what-happens-if-you-dont-repair-basement-wall-cracks-right-away/,38,0.00458,81,0.00235,organic,https://www.groundworks.com/resources/how-to-repair-basement-wall-cracks/,19,0.00235,,i,n/a,10,16
how to repair foundation crack,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,29
how to repair foundation cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,15,0.01468,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,85,0.01468,,i,n/a,n/a,35
how to seal cracks in foundation,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,58,0.00505,organic,https://www.groundworks.com/resources/sealing-foundation-cracks-tips-new-england/,42,0.00505,,i,n/a,10,15
leak in basement wall,-,0.00000,,,-,0.00000,84,0.00200,organic,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,16,0.00200,-,0.00000,,,-,0.00000,14,0.01526,organic,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,86,0.01526,,i,n/a,10,12
leaking basement walls,-,0.00000,,,-,0.00000,101,0.00012,organic,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,-1,0.00012,-,0.00000,,,-,0.00000,32,0.00916,organic,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,68,0.00916,,i,n/a,10,21
leaky basement,-,0.00000,,,-,0.00000,79,0.00258,organic,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,21,0.00258,-,0.00000,,,-,0.00000,39,0.00751,organic,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,61,0.00751,tracking,c,n/a,20,26
outdoor basement entrance doors,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,69,0.00376,organic,https://crackx.com/bulkhead-test2/,31,0.00376,61,0.00470,organic,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,39,0.00470,,c,n/a,10,39
outside foundation crack repair,-,0.00000,,,-,0.00000,20,0.01233,organic,https://www.a1foundationcrackrepair.com/,80,0.01233,-,0.00000,,,-,0.00000,18,0.01327,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,82,0.01327,,i,n/a,10,26
outside foundation repair,-,0.00000,,,-,0.00000,3,0.11153,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-repair-exterior-foundation-walls-that-are-damaged-pitted-or-spalled,97,0.11153,-,0.00000,,,-,0.00000,13,0.01644,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,87,0.01644,,i,n/a,10,10
precast bulkhead,-,0.00000,,,-59,-0.00704,16,0.01409,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,8,0.00305,-,0.00000,,,-46,-0.00552,-,0.00000,,,-,0.00000,tracking,i,n/a,10,16
pyrrhotite concrete massachusetts,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,22
pyrrhotite foundation massachusetts,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,23
pyrrhotite in concrete,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,n/a,34
pyrrhotite massachusetts,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,24
repair basement wall cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,60,0.00481,organic,https://crackx.com/what-happens-if-you-dont-repair-basement-wall-cracks-right-away/,40,0.00481,63,0.00446,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,37,0.00446,,i,n/a,n/a,21
repair crack concrete,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,98,0.00035,organic,https://www.groundworks.com/,2,0.00035,,i,n/a,n/a,39
sealing foundation cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,18,0.01327,organic,https://www.groundworks.com/resources/sealing-foundation-cracks-tips-new-england/,82,0.01327,,i,n/a,10,11
structural cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,99,0.42735,-,0.00000,,,-,0.00000,,i,n/a,10,29
sump pump installation near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,t,n/a,10,25
surface cracks in concrete,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,12
types of cracks in walls,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,28,0.01010,organic,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,72,0.01010,46,0.00646,organic,https://www.groundworks.com/resources/horizontal-versus-vertical-foundation-cracks-new-england/,54,0.00646,,i,n/a,10,16
water in basement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,30,0.00963,organic,https://www.groundworks.com/resources/what-causes-water-in-basement/,70,0.00963,,i,21.40,20,33
water in basement repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,5,0.07162,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,95,0.07162,,i,n/a,10,30
water seeping in basement floor,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,91,0.00117,organic,https://crackx.com/water-seepage-through-basement/,9,0.00117,1,0.42735,ai overview,https://www.groundworks.com/resources/water-coming-up-from-basement-floor/,99,0.42735,,i,n/a,10,20
water seeping through basement floor,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,53,0.00564,organic,https://crackx.com/water-seepage-through-basement/,47,0.00564,1,0.42735,ai overview,https://www.groundworks.com/resources/water-coming-up-from-basement-floor/,99,0.42735,,i,n/a,10,17
waterproof bulkhead doors,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/a-step-by-step-guide-to-bulkhead-waterproofing/,99,0.42735,-,0.00000,,,-,0.00000,,i,n/a,10,31
waterproofing basement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,25,0.01080,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,75,0.01080,,i,13.35,210,50
waterproofing basement walls,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,90,0.00129,organic,https://crackx.com/waterproofing-basement-walls/,10,0.00129,66,0.00411,organic,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,34,0.00411,,i,n/a,10,31
waterproofing cellar walls,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,73,0.00329,organic,https://www.groundworks.com/resources/basement-waterproofing-ultimate-guide/,27,0.00329,,i,n/a,10,25
what is pyrrhotite,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,30
