Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
outside basement doors,1,1,260,33,1.36,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,17,0.02,23.00,1,69700000,"[28,11,81,54,54,15,66,66,35,35,54,44]",2026-01-21,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
does humidity make it feel hotter,3,3,720,16,0.00,https://www.groundworks.com/resources/how-humidity-affects-indoor-temperature/,17,0.02,0.00,0,6010000,"[8,13,20,20,16,16,41,100,66,20,24,10]",2026-01-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
piers for house,1,1,70,22,6.57,https://www.groundworks.com/resources/5-things-to-know-about-foundation-piers/,17,0.02,111.00,0.15,0,"[52,82,23,100,29,29,64,29,23,41,41,29]",2026-03-07,"Image pack, Video, Featured snippet, Video Carousel, Related searches",informational,Organic
what does a class a fire rating mean,1,1,70,19,0.00,https://www.groundworks.com/glossary/class-a-fire-rating/,17,0.02,0.00,0.01,40800000,"[64,64,11,64,64,41,41,41,41,29,41,52]",2026-01-21,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
rainiest cities in usa,1,1,70,22,0.16,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,17,0.02,2.00,0.01,1280000,"[11,5,7,1,7,2,2,2,1,0,0,0]",2026-01-18,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
greg green groungworks,3,3,210,6,0.00,https://www.groundworks.com/locations/groundworks-riverside/groundworks-riverside-branch/,17,0.02,0.00,0,112000,"[100,0,0,0,0,0,0,0,0]",2026-02-18,"Image pack, Video",informational,Organic
basement waterproofing reviews,1,1,70,9,10.17,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,17,0.02,172.00,0.75,4500000,"[7,7,7,7,7,11,7,100,100,34,11,19]",2026-02-28,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Local pack
basement waterproofing st paul,1,1,70,4,14.33,https://www.groundworks.com/locations/groundworks-minneapolis/groundworks-minneapolis-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_iba-msp,17,0.02,243.00,0.59,399000,"[2,9,2,2,4,2,5,15,19,15,12,12]",2026-03-01,"Local pack, Video, People also ask, Related searches",commercial,Local pack
foundation repair forney tx,1,1,70,0,0.00,https://www.groundworks.com/service-areas/foundation-repair-forney-tx/,17,0.02,0.00,0.81,119,"[14,14,28,14,21,50,28,100,100,64,50,78]",2026-03-04,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
subterranean city,1,1,1000,51,0.92,https://www.groundworks.com/resources/u-s-cities-with-incredible-underground-tunnel-systems/,17,0.02,15.00,0.01,10400000,"[10,4,15,7,15,5,3,5,10,1,1,13]",2026-02-04,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,People also ask
helical piles foundation repair,1,1,210,17,6.97,https://www.groundworks.com/solutions/foundation-repair/helical-piers/,17,0.02,118.00,0.59,102000,"[43,43,35,54,29,35,35,100,100,43,22,18]",2026-02-10,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Organic
crawl+space+repair+near+me,1,1,590,9,0.00,https://www.groundworks.com/solutions/crawl-space-repair/,17,0.02,0.00,0,16100000,"[100,1,0,0,0]",2026-01-24,"Local pack, Sitelinks, Image, People also ask, Related searches",transactional,Organic
foundation leak repair flower mound,1,1,70,1,0.00,https://www.groundworks.com/service-areas/foundation-repair-flower-mound-tx/,17,0.02,0.00,0,569000,"[3,15,11,3,0,0,53,53,42,100]",2026-01-09,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
pier and slab foundation,1,1,210,10,6.25,https://www.groundworks.com/resources/pier-and-beam-vs-slab-foundation/,17,0.02,106.00,0.24,3110000,"[3,3,18,18,15,100,81,66,54,6,8,11]",2026-03-05,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
bq basement,1,1,70,19,11.57,https://www.groundworks.com/locations/bq-basements-concrete/,17,0.02,196.00,0.66,540000,"[15,12,9,19,15,1,4,12,15,9,5,4]",2026-02-27,"Knowledge panel, Video, Video Carousel, People also ask, Related searches",informational,Organic
civil groundworks,1,1,70,39,0.00,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,17,0.02,0.00,0.33,13400000,"[36,27,36,81,45,63,81,27,45,100,100,100]",2026-01-16,"Local pack, Video, Related searches",commercial,Local pack
foundation contractors in my area,1,1,210,36,13.25,https://www.groundworks.com/locations/groundworks-dallas/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dfw,17,0.02,225.00,0.58,99200000,"[4,4,4,10,12,12,54,100,81,15,7,5]",2026-02-22,"Local pack, Video, People also ask, Related searches",commercial,Local pack
afs chattanooga,3,3,210,17,12.13,https://www.groundworks.com/locations/afs-foundation-waterproofing-specialist/chattanooga-branch/,17,0.02,206.00,0.5,119000,"[18,28,23,28,28,35,35,44,44,44,44,35]",2026-01-28,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
what is a concrete footing,1,1,210,,0.00,https://www.groundworks.com/glossary/concrete-footing/,17,0.02,0.00,0.02,20900000,"[22,29,35,35,43,54,54,43,54,54,22,66]",2026-01-05,"Image pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation waterproofing nj,1,1,210,50,14.57,https://www.groundworks.com/locations/groundworks-new-jersey/groundworks-new-jersey-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ewr,17,0.02,247.00,0.6,446000,"[14,14,14,26,32,39,26,26,21,21,26,17]",2026-01-26,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
house foundation repair companies,1,1,70,38,23.08,https://www.groundworks.com/locations/groundworks-houston/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-hou,17,0.02,392.00,0.91,109000000,"[9,15,21,21,15,21,15,34,34,12,15,6]",2026-02-07,"Local pack, Video, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Local pack
how many days a year does it rain in seattle,1,1,1000,34,0.00,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,17,0.02,0.00,0,40500000,"[55,55,62,62,62,100,62,81,62,55,81,55]",2026-02-25,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
how much does a skyscraper weigh,1,1,390,23,0.00,https://www.groundworks.com/resources/how-far-underground-are-skyscraper-foundations/,17,0.02,0.00,0,4270000,"[20,20,20,36,45,30,20,36,24,30,30,24]",2026-02-24,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Image pack
major us dams,2,2,590,,0.09,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,17,0.02,1.00,0.03,23100000,"[13,25,31,100,100,7,3,84,4,1,1,4]",2026-01-10,"Sitelinks, Video, People also ask, Related searches, Short videos, AI overview",informational,Organic
afs chattanooga tn,3,3,210,8,12.88,https://www.groundworks.com/locations/afs-foundation-waterproofing-specialist/chattanooga-branch/,17,0.02,218.00,0.48,0,"[53,65,80,80,80,65,100,100,100,80,80,100]",2026-03-06,"Knowledge panel, Image pack, Video, Related searches","informational, transactional",Organic
snowiest city in the us,2,2,1000,46,0.77,https://www.groundworks.com/resources/top-10-snowiest-cities-in-the-us-how-heavy-snowfall-can-impact-your-home/,17,0.02,13.00,0.01,885000,"[13,29,65,43,13,36,5,7,7,20,8,22]",2026-01-11,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
humidity smell,1,1,70,24,0.79,https://www.groundworks.com/resources/damp-smell-persisting-unearth-the-perfect-home-humidity-to-keep-your-home-odor-and-allergen-free/,17,0.02,13.00,0.27,39200000,"[35,28,35,35,50,50,50,50,50,50,50,50]",2026-02-16,"Sitelinks, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
joist definition,11,11,4400,56,0.90,https://www.groundworks.com/glossary/floor-joists/,17,0.02,15.00,0.01,0,"[10,13,19,8,13,10,100,13,13,13,10,19]",2026-03-07,"Knowledge panel, Image pack, Video, Related searches, Short videos",informational,Organic
foundation repair service,2,2,720,57,19.62,https://www.groundworks.com/solutions/foundation-repair/,17,0.02,333.00,0.06,250000000,"[0,3,8,7,16,37,20,16,68,100,84,52]",2026-01-05,"Local pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
concrete repair contractors near me,2,2,1000,32,7.63,https://www.groundworks.com/resources/diy-vs-professional-concrete-crack-repair/,17,0.02,129.00,0.47,28800000,"[10,10,8,7,7,66,80,100,27,7,3,3]",2026-01-29,"Local pack, Video, People also ask, Related searches",transactional,People also ask
high water table,2,2,590,21,0.00,https://www.groundworks.com/glossary/high-water-table/,17,0.02,0.00,0,1880000000,"[66,54,66,81,100,100,100,81,81,54,54,54]",2026-01-30,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
types of bee nests pictures,1,1,260,19,0.00,https://www.groundworks.com/resources/what-hive-is-it/,17,0.02,0.00,0.01,1140000,"[12,9,5,6,12,23,44,66,81,81,36,19]",2026-01-13,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",People also ask
waterproofing pittsburgh pa,1,1,70,40,15.22,https://www.groundworks.com/locations/groundworks-pittsburgh/groundworks-pittsburgh-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_bkw-pit,17,0.02,258.00,0.92,178000,"[11,17,5,41,52,41,41,29,100,64,41,64]",2026-01-15,"Local pack, Image, Ads bottom, People also ask, Related searches",commercial,Local pack
matvey foundation repair,1,1,210,15,7.46,https://www.groundworks.com/locations/matvey-foundation-repair/,17,0.02,126.00,0.68,16200,"[26,21,21,26,32,21,17,21,21,21,14,11]",2026-02-20,"Knowledge panel, Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",commercial,Organic
house base,1,1,260,65,0.67,https://www.groundworks.com/resources/what-is-a-house-foundation/,17,0.02,11.00,0.03,2260000000,"[35,43,29,35,66,100,81,43,35,43,66,43]",2026-01-10,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
foundation underpinning services,7,7,1900,9,0.00,https://www.groundworks.com/commercial/solutions/foundation-repair/foundation-underpinning/,17,0.02,0.00,0.05,15500000,"[0,16,22,29,29,29,36,54,100,54,54,65]",2026-02-28,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
largest dams in the united states,2,2,210,20,0.08,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,17,0.02,1.00,0.01,0,"[17,28,53,53,66,28,100,28,100,82,53,43]",2026-03-06,"Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
basement waterproofing wichita ks,1,1,70,6,41.19,https://www.groundworks.com/locations/groundworks-wichita/groundworks-wichita-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ict,17,0.02,700.00,0.04,26200,"[5,5,5,5,5,5,5,12,7,28,28,100]",2026-01-12,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
basement cracks,1,1,1000,23,8.87,https://www.groundworks.com/resources/are-foundation-cracks-normal/,17,0.02,150.00,0.03,21100000,"[13,8,16,16,68,84,84,100,84,52,52,68]",2026-02-07,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Short videos, Things to know, Discussions and forums, AI overview",informational,People also ask
foundation weep holes,1,1,70,11,3.49,https://www.groundworks.com/glossary/weep-holes/,17,0.02,59.00,0.12,1750000,"[6,6,6,34,34,34,21,43,43,21,28,21]",2026-01-23,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
matvey foundation repair reviews,1,1,70,19,19.14,https://www.groundworks.com/locations/groundworks-seattle/groundworks-seattle-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-sea,17,0.02,325.00,0.21,8280,"[19,15,19,19,26,19,26,53,34,7,42,42]",2026-01-17,"Local pack, Video, People also ask, Related searches",commercial,Local pack
foundation support specialist,1,1,70,8,12.60,https://www.groundworks.com/locations/groundworks-houston/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-hou,17,0.02,214.00,0.72,354000000,"[35,29,22,14,10,10,2,14,14,8,10,4]",2026-01-28,"Local pack, Video, People also ask, Related searches",commercial,Local pack
basement encapsulation,9,1,5400,20,12.04,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-encapsulation/,16,0.01,192.00,0.75,0,"[7,8,36,13,36,36,44,100,81,81,81,81]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
hybrid pier skirted crawlspace,6,6,880,17,0.00,https://www.groundworks.com/resources/how-to-enclose-pier-and-beam-foundation-the-right-way/,16,0.01,0.00,0,2650,"[100,0]",2026-02-28,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
crawl space repair contractor,1,1,480,47,28.91,https://www.groundworks.com/solutions/crawl-space-repair/,16,0.01,462.00,0.04,3610000,"[0,3,10,13,8,24,24,100,76,67,67,67]",2026-01-29,"Local pack, People also ask, Related searches",commercial,Organic
groundwork companies,1,1,260,56,6.72,https://www.groundworks.com/locations/groundworks-grand-junction/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-gjt,16,0.01,107.00,0.55,31600000,"[15,36,7,36,36,12,36,12,54,15,100,19]",2026-02-20,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Local pack
sinking foundation,11,11,5400,15,1.91,https://www.groundworks.com/resources/how-much-is-too-much-foundation-sinking/,16,0.01,30.00,0.04,147,"[54,10,10,81,81,81,81,81,16,100,19,100]",2026-03-05,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
underground cities in america,4,4,1300,31,0.70,https://www.groundworks.com/resources/u-s-cities-with-incredible-underground-tunnel-systems/,16,0.01,11.00,0.01,75000000,"[29,22,13,22,20,100,36,22,13,20,20,16]",2026-03-01,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
foundation lifting,1,1,480,15,12.65,https://www.groundworks.com/resources/the-ultimate-guide-to-lifting-your-foundation/,16,0.01,202.00,0.25,434000000,"[29,44,36,54,54,54,54,100,81,54,81,67]",2026-02-17,"Local pack, Image pack, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
crawlspace contractor,3,3,880,55,21.22,https://www.groundworks.com/solutions/crawl-space-repair/,16,0.01,339.00,0.28,4970000,"[3,1,1,3,3,11,3,55,65,34,100,55]",2026-02-10,"Local pack, Video, Ads bottom, Video Carousel, People also ask, Related searches, See results about, AI overview",informational,Organic
how much does foundation repair cost,13,13,5400,15,5.99,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,16,0.01,95.00,0.48,176000000,"[16,19,16,16,13,66,54,66,100,81,81,81]",2026-03-03,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
concrete crack injection waterproofing foundations los angeles,9,9,880,9,0.00,https://www.groundworks.com/service-areas/foundation-repair-los-angeles-ca/,16,0.01,0.00,0,258000,"[100,0]",2026-02-28,"Local pack, Video, Related searches, AI overview",informational,Organic
underground towns in america,3,3,1300,21,0.70,https://www.groundworks.com/resources/u-s-cities-with-incredible-underground-tunnel-systems/,16,0.01,11.00,0.01,179000000,"[2,1,0,2,13,100,0,0,5,0,10,0]",2026-01-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
early sign foundation problem pictures,1,1,390,9,2.71,https://www.groundworks.com/resources/signs-your-home-has-foundation-problem/,16,0.01,43.00,0.05,0,"[54,44,44,36,100,44,81,81,29,23,23,54]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches",informational,Image pack
basement games,5,5,480,15,0.53,https://www.groundworks.com/resources/best-basement-games/,16,0.01,8.00,1,125000000,"[68,37,20,16,7,8,5,16,25,13,11,37]",2026-01-26,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",commercial,Organic
underground drain spout,1,1,480,18,3.65,https://www.groundworks.com/resources/why-invest-in-underground-downspouts/,16,0.01,58.00,1,1170000,"[13,8,16,81,100,10,16,3,20,30,30,1]",2026-02-14,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
innovative basement authority,2,2,1600,33,7.41,https://www.groundworks.com/locations/innovative-basement-authority/,16,0.01,118.00,0.44,2660000,"[41,54,41,66,79,20,66,79,100,79,54,41]",2026-01-27,"Knowledge panel, Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
biggest dams in the us,1,1,260,22,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,15,0.01,0.00,0.02,17400000,"[22,66,35,43,54,43,54,81,100,54,43,66]",2026-02-25,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
fieldstone foundation repair,1,1,260,14,11.46,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,15,0.01,171.00,0.67,336000,"[7,15,15,15,19,23,100,36,81,15,12,10]",2026-02-21,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
floor support,2,2,390,8,2.00,https://www.groundworks.com/glossary/floor-joists/,15,0.01,30.00,0.92,1600000000,"[20,30,76,100,20,20,20,20,20,16,20,16]",2026-01-26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",People also ask
cracks in drywall joints,1,1,480,21,1.43,https://www.groundworks.com/resources/drywall-cracks-when-to-worry/,15,0.01,21.00,0.09,1400000,"[54,23,100,81,81,81,81,23,23,66,100,100]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
does home insurance cover foundation problems,1,1,390,31,3.76,https://www.groundworks.com/resources/easy-steps-to-repair-house-foundation/,15,0.01,56.00,0.05,304000000,"[19,15,29,36,36,29,29,44,44,81,100,100]",2026-03-05,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
picture of bee hive,1,1,390,31,0.58,https://www.groundworks.com/resources/what-hive-is-it/,15,0.01,8.00,0.66,8910000,"[12,36,54,44,44,36,81,81,54,66,44,36]",2026-01-28,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
concrete repair company,1,1,880,41,6.37,https://www.groundworks.com/resources/diy-vs-professional-concrete-crack-repair/,15,0.01,95.00,0.58,90100000,"[2,4,25,46,84,20,31,31,100,46,84,84]",2026-01-07,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,People also ask
basement concrete crack,1,1,260,20,6.94,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,15,0.01,104.00,0.04,8330000,"[2,2,5,15,6,23,36,44,100,44,66,66]",2026-02-25,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
water table near me,2,2,720,30,0.38,https://www.groundworks.com/glossary/high-water-table/,15,0.01,5.00,0.9,1770000000,"[3,3,5,24,44,44,65,44,20,8,8,5]",2026-02-03,"Sitelinks, Video, Image, People also ask, Related searches, AI overview","informational, transactional",People also ask
regrading yard,1,1,720,16,4.90,https://www.groundworks.com/glossary/yard-grading/,15,0.01,73.00,0.41,343000,"[25,20,20,31,46,52,52,52,52,37,31,25]",2026-01-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
cracked slab foundation repair cost,1,1,480,24,6.14,https://www.groundworks.com/solutions/foundation-repair/cracked-foundation-slab/,15,0.01,92.00,0.67,3430000,"[1,1,1,20,20,27,24,27,24,5,2,0]",2026-02-10,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
efflorescence basement,1,1,260,13,3.90,https://www.groundworks.com/resources/why-you-should-never-ignore-efflorescence-in-your-basement/,15,0.01,58.00,0.34,802000,"[35,81,18,66,6,44,23,44,44,44,81,28]",2026-02-28,"Sitelinks, Video, People also ask, Related searches, Short videos, Things to know, AI overview",informational,AI overview
what are the biggest dams in the world,1,1,480,16,0.00,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,15,0.01,0.00,0,19200000,"[16,13,67,16,100,76,36,13,1,1,55,76]",2026-01-26,"Video, People also ask, Related searches, Short videos",informational,People also ask
rainiest cities in the world,1,1,480,34,0.00,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,15,0.01,0.00,0,116,"[54,54,54,54,54,67,67,67,67,44,81,54]",2026-03-04,"Image pack, Sitelinks, Video, People also ask, Related searches, Short videos, AI overview",informational,People also ask
house insects,1,1,720,50,0.40,https://www.groundworks.com/resources/whats-the-worst-home-destroying-pest-in-each-state/,15,0.01,6.00,0.94,186000000,"[31,25,25,20,20,68,46,52,68,52,31,13]",2026-02-07,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",informational,People also ask
household insects,1,1,720,48,1.19,https://www.groundworks.com/resources/whats-the-worst-home-destroying-pest-in-each-state/,15,0.01,17.00,0.45,193000000,"[36,36,36,45,45,55,76,67,67,55,45,36]",2026-02-13,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
ceiling cracks when to worry,1,1,480,5,2.61,https://www.groundworks.com/resources/how-serious-are-ceiling-cracks/,15,0.01,39.00,0.06,33600000,"[20,24,24,24,20,20,20,16,24,24,20,16]",2026-01-13,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
encapsulate crawl space,3,3,3600,24,11.09,https://www.groundworks.com/resources/do-i-need-encapsulation-in-crawl-space/,15,0.01,166.00,0.44,0,"[8,8,8,10,19,35,19,23,100,100,100,100]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, Related searches, See results about, Discussions and forums, AI overview",informational,Image pack
why is my basement so cold,1,1,260,12,1.84,https://www.groundworks.com/resources/why-is-my-basement-cold/,15,0.01,27.00,0.1,147000000,"[44,81,66,44,35,35,54,54,28,6,8,11]",2026-02-22,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
lolly columns,3,3,1300,10,0.55,https://www.groundworks.com/resources/lally-column-replacement-and-installation/,15,0.01,8.00,0.75,1430000,"[30,24,55,34,34,65,34,55,34,65,34,44]",2026-02-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, Things to know, AI overview","commercial, informational",Things to know
concrete leveling near me,30,30,22200,21,13.84,https://www.groundworks.com/service-areas/concrete-lifting-las-vegas-nv/,15,0.01,207.00,0.16,0,"[5,13,24,20,24,20,100,54,20,13,13,13]",2026-03-07,"Local pack, Video, Image, Related searches",transactional,Organic
hurricane resistant homes,5,5,1300,9,1.07,https://www.groundworks.com/resources/foundations-ranked-strongest-to-weakest/,15,0.01,16.00,0.03,4840000,"[8,8,19,8,12,7,8,8,23,16,35,23]",2026-02-07,"Image pack, Video, Video Carousel, People also ask, Related searches",informational,People also ask
houses for sale in red wing mn,3,3,720,27,0.06,https://www.groundworks.com/service-areas/foundation-repair-red-wing-mn/,15,0.01,0.00,0.29,4220000,"[29,36,81,81,100,100,81,54,100,67,100,81]",2026-01-26,"Image, People also ask, Related searches",transactional,People also ask
termiticide insecticide,1,1,390,16,1.09,https://www.groundworks.com/glossary/termiticide/,15,0.01,16.00,0.83,3020000,"[5,10,13,36,45,100,20,67,6,36,13,16]",2026-02-14,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,People also ask
footings concrete,1,1,260,25,3.36,https://www.groundworks.com/glossary/concrete-footing/,15,0.01,50.00,0.27,4520000,"[2,4,11,25,11,11,13,13,13,25,16,11]",2026-03-01,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,AI overview
define basement,1,1,480,35,0.00,https://www.groundworks.com/glossary/everything-you-need-to-know-about-basements/,15,0.01,0.00,0.01,47200000,"[36,36,100,100,54,100,81,54,81,54,44,54]",2026-01-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,People also ask
vertical crack in foundation,1,1,390,3,3.71,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,15,0.01,55.00,0.41,41400000,"[35,35,81,81,66,100,54,66,66,81,44,44]",2026-03-01,"Image pack, Sitelinks, Video, People also ask, Related searches, Short videos, Things to know, AI overview",informational,People also ask
largest dam usa,2,2,390,33,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,15,0.01,0.00,0.02,47000000,"[13,11,8,100,0,0,0,1,0,1,1,16]",2026-01-29,"Image pack, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Short videos",informational,People also ask
how to level a concrete floor,1,1,720,19,1.16,https://www.groundworks.com/resources/how-to-level-a-concrete-floor/,15,0.01,17.00,0.95,152000000,"[55,76,45,55,100,67,55,67,45,55,45,45]",2026-02-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
crawl space company,5,5,720,42,22.88,https://www.groundworks.com/solutions/crawl-space-repair/,15,0.01,343.00,0.14,47900000,"[5,13,10,10,13,13,20,100,66,36,36,30]",2026-02-03,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
frost line map,2,2,1000,42,0.00,https://www.groundworks.com/resources/frost-line-depth-in-northern-new-england-how-it-impacts-foundations-and-repairs/,15,0.01,0.00,0,126000000,"[55,100,100,100,67,76,67,67,55,67,76,67]",2026-02-07,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
foundation wall crack repair,1,1,1000,9,10.55,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,15,0.01,158.00,0.41,14700000,"[7,16,16,31,46,100,84,100,100,46,20,16]",2026-02-07,"Knowledge panel, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
basement vent,1,1,720,28,1.35,https://www.groundworks.com/resources/should-you-close-your-basement-vents-during-the-summer/,15,0.01,20.00,1,29400000,"[24,30,36,45,36,55,100,100,67,55,45,36]",2026-01-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,People also ask
crawl space vent fan,1,1,1300,16,1.06,https://www.groundworks.com/resources/do-crawl-space-ventilation-fans-work/,15,0.01,15.00,1,3290000,"[30,24,24,41,30,79,79,100,100,66,66,41]",2026-01-21,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,People also ask
under the sydney opera house,1,1,390,33,0.00,https://www.groundworks.com/resources/what-are-the-biggest-underground-structures/,15,0.01,0.00,0,35600000,"[100,1,0,0,1,0,0,0,0,0,0,0]",2026-01-01,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
house foundation crack,1,0,260,11,6.50,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,15,0.01,97.00,0.58,123,"[2,6,6,1,2,66,54,29,29,100,29,100]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,AI overview
how does humidity affect temperature,5,5,590,38,0.00,https://www.groundworks.com/resources/how-humidity-affects-indoor-temperature/,14,0.01,0.00,0.01,110000000,"[24,30,36,30,30,30,36,62,62,36,30,20]",2026-01-07,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
