Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
basement and foundation engineering,73,73,40,30,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,15800000,"[80,80,100,100,80,80,80,60,60,80,60,60]",2026-02-21,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
boston basement waterproofing,87,87,50,50,17.13,https://www.a1foundationcrackrepair.com/basement-waterproofing,0,0,0.00,0.43,253000,"[19,19,26,7,11,15,7,26,34,26,34,34]",2026-01-13,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
replacement bilco doors,1,1,110,18,2.44,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,1,69700,"[42,42,19,42,26,34,34,80,100,53,34,34]",2026-02-24,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,People also ask
foundation crack repair head of the harbor,11,11,50,1,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,1980000,"[28,71,100]",2026-02-17,"Local pack, Video, People also ask, Related searches, AI overview",informational,Organic
foundation crack repair southlake,56,56,40,0,0.00,https://www.a1foundationcrackrepair.com/rhode-island,0,0,0.00,0,74000,"[0,9,45,36,0,0,0,81,100,81,63,63]",2026-02-21,"Local pack, Video, Related searches",commercial,Organic
how to repair cement stairs,48,48,320,23,1.14,https://www.a1foundationcrackrepair.com/damaged-stairs,0,0,0.00,0.67,13000000,"[17,14,39,26,21,26,21,7,88,88,59,7]",2026-03-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
rod hole repair,16,17,30,7,19.94,https://www.a1foundationcrackrepair.com/tie-rods,0,0,0.00,0.8,182,"[14,14,14,14,14,14,78,50,21,14,14,14]",2026-03-08,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
water coming up from basement floor cracks,34,34,40,2,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/why-is-there-water-coming-into-my-basement-after-a-water-line-upgrade,0,0,0.00,0.89,6550000,"[7,7,7,7,7,100,7,7,7,7,7,7]",2026-02-17,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
spalling repair,66,66,90,16,3.41,https://www.a1foundationcrackrepair.com/spalling-concrete,0,0,0.00,0.49,1810000,"[28,28,6,28,21,15,21,28,34,43,12,34]",2026-01-05,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
spalling repair,70,70,90,16,3.41,https://www.a1foundationcrackrepair.com/spalling-concrete,0,0,0.00,0.49,1810000,"[28,28,6,28,21,15,21,28,34,43,12,34]",2026-01-05,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
foundation repair & basement waterproofing,90,90,90,41,0.00,https://www.a1foundationcrackrepair.com/rhode-island,0,0,0.00,0,4620000,"[7,50,78,100,100,100,50,78,100,50,21,21]",2026-02-03,"Local pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
fix leak in basement wall,55,55,30,5,13.90,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.32,5430000,"[14,28,100,14,57,42,14,100,57,28,28,57]",2026-01-25,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
commercial foundation repair suffolk,29,29,40,0,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,509000,"[60,100,100]",2026-02-16,"Knowledge panel, Video, People also ask, Related searches, AI overview",commercial,Organic
garage expansion solutions hudson nh,83,83,40,0,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,426000,"[0,0,0,11,77,77,100,55,77]",2026-01-24,"Local pack, Sitelinks, Related searches",informational,Organic
stone foundations,48,48,320,11,3.18,https://www.a1foundationcrackrepair.com/stone-foundation,0,0,0.00,0.02,111000000,"[0,0,0,16,24,13,5,30,36,55,67,55]",2026-01-15,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
stone basement waterproofing,23,23,110,2,7.12,https://www.a1foundationcrackrepair.com/stone-foundation,0,0,0.00,0.86,4690000,"[6,6,6,6,28,100,81,100,65,6,6,6]",2026-02-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cracks on basement floor,44,44,110,2,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,0,0,0.00,0.07,12200000,"[0,3,3,9,3,21,34,43,53,65,65,81]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
cracks on basement floor,94,94,110,2,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,0,0,0.00,0.07,12200000,"[0,3,3,9,3,21,34,43,53,65,65,81]",2026-02-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
foundation crack repair bohemia,16,16,90,4,0.00,https://www.a1foundationcrackrepair.com/new-hampshire,0,0,0.00,0,409000,"[14,78,100,64,50,50,50]",2026-02-02,"Local pack, Video, People also ask, AI overview",commercial,Organic
mice in basement,25,25,390,15,2.26,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/are-rats-or-mice-invading-your-basement-boston-ma,0,0,0.00,0.65,28700000,"[72,59,32,72,48,39,39,39,26,21,26,32]",2026-02-01,"Sitelinks, Video, Image, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Organic
cracks foundation specialists,49,49,40,21,11.85,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.51,13100000,"[0,71,71,57,57,57,57,100,71,57,28,42]",2026-02-15,"Video, Video Carousel, People also ask, Related searches, AI overview","commercial, informational",Organic
sump pumps repair mansfield,95,95,40,0,0.00,https://www.a1foundationcrackrepair.com/sump-pump,0,0,0.00,0,122000,"[0,0,0,0,0,7,7,100,100,50,50,35]",2026-02-22,"Local pack, Video, People also ask, Related searches",commercial,Organic
basement water seepage repair,76,76,880,14,19.37,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.64,492000,"[2,2,3,7,1,2,100,4,43,1,1,1]",2026-02-07,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation repair cement,45,45,30,2,11.90,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.52,32400000,"[9,9,0,27,36,45,27,45,27,9,45,9]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
foundation repair cement,49,49,30,2,11.90,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.52,32400000,"[9,9,0,27,36,45,27,45,27,9,45,9]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
best foundation crack repair services near me,52,52,40,30,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,7250000,"[20,100,100,100,100]",2026-01-24,"Local pack, Video, People also ask, Related searches, AI overview",transactional,Organic
bulkhead door installation cost,1,1,40,8,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.01,2050000,"[18,18,18,18,18,18,100,100,18,18,18,18]",2026-02-25,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
all in one foundation repair,13,13,30,18,16.83,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.8,453000000,"[22,22,22,22,22,100,22,44,77,22,22,22]",2026-02-07,"Local pack, Video, People also ask, Related searches",commercial,Organic
concrete cold joint repair,11,11,40,5,3.62,https://www.a1foundationcrackrepair.com/cold-joint-repair,0,0,0.00,0.44,13600000,"[18,18,18,18,18,18,18,36,36,100,36,45]",2026-02-03,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
concrete cold joint repair,59,59,40,5,3.62,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking-cold-joints-repairs-in-basement-foundation-walls-floors-ma-ri-nh-ct,0,0,0.00,0.44,13600000,"[18,18,18,18,18,18,18,36,36,100,36,45]",2026-02-03,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
bulkhead door installation,1,1,70,14,2.76,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.09,9450000,"[7,53,19,26,15,19,26,26,26,26,26,42]",2026-03-02,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums",commercial,People also ask
lolli columns,1,1,140,18,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,0,0,0.00,0.75,409000,"[0,0,30,5,5,30,20,20,3,10,8,10]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",AI overview
lolli columns,2,2,140,18,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,0,0,0.00,0.75,409000,"[0,0,30,5,5,30,20,20,3,10,8,10]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Things to know
lolli columns,2,2,140,18,0.55,https://www.a1foundationcrackrepair.com/lally-column-replacement,0,0,0.00,0.75,409000,"[0,0,30,5,5,30,20,20,3,10,8,10]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Things to know
lolli columns,2,2,140,18,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/installing-lally-columns-what-not-to-do,0,0,0.00,0.75,409000,"[0,0,30,5,5,30,20,20,3,10,8,10]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Things to know
lolli columns,57,57,140,18,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/why-are-lally-columns-so-important,0,0,0.00,0.75,409000,"[0,0,30,5,5,30,20,20,3,10,8,10]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Organic
lolli columns,87,87,140,18,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/lally-columns-what-you-should-and-should-not-use-boston-ma,0,0,0.00,0.75,409000,"[0,0,30,5,5,30,20,20,3,10,8,10]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Organic
repairing bulkhead,53,53,30,8,8.21,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-fix-my-leaking-bulkhead-boston-ma,0,0,0.00,0.25,1960000,"[15,11,26,15,15,26,0,11,7,7,0,7]",2026-01-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
repairing bulkhead,73,73,30,8,8.21,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,0,0,0.00,0.25,1960000,"[15,11,26,15,15,26,0,11,7,7,0,7]",2026-01-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
repairing bulkhead,86,86,30,8,8.21,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,0,0,0.00,0.25,1960000,"[15,11,26,15,15,26,0,11,7,7,0,7]",2026-01-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
leaking basement repairs,53,53,90,7,21.73,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.34,14500000,"[0,1,1,1,2,3,3,1,0,100,0,0]",2026-01-05,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches",transactional,Organic
foundation crack repair centereach,15,15,90,5,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,33600,"[7,100,19,19,15,26,34]",2026-02-04,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair centereach,29,29,90,5,0.00,https://www.a1foundationcrackrepair.com/new-hampshire,0,0,0.00,0,33600,"[7,100,19,19,15,26,34]",2026-02-04,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair centereach,40,40,90,5,0.00,https://www.a1foundationcrackrepair.com/new-hampshire,0,0,0.00,0,33600,"[7,100,19,19,15,26,34]",2026-02-04,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair centereach,56,56,90,5,0.00,https://www.a1foundationcrackrepair.com/contact,0,0,0.00,0,33600,"[7,100,19,19,15,26,34]",2026-02-04,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair centereach,86,86,90,5,0.00,https://www.a1foundationcrackrepair.com/about,0,0,0.00,0,33600,"[7,100,19,19,15,26,34]",2026-02-04,"Local pack, Video, People also ask, Related searches",commercial,Organic
install dehumidifier in basement,45,45,70,5,5.65,https://www.a1foundationcrackrepair.com/dehumidifier,0,0,0.00,0.69,1790000,"[19,26,15,19,15,19,34,100,34,34,19,19]",2026-02-16,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
install dehumidifier in basement,54,54,70,5,5.65,https://www.a1foundationcrackrepair.com/dehumidifier,0,0,0.00,0.69,1790000,"[19,26,15,19,15,19,34,100,34,34,19,19]",2026-02-16,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
foundation repair connecticut,12,12,90,16,14.46,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.52,18000000,"[14,23,19,9,9,42,52,100,66,80,52,80]",2026-02-01,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
foundation repair connecticut,24,24,90,16,14.46,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.52,18000000,"[14,23,19,9,9,42,52,100,66,80,52,80]",2026-02-01,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
basement bulkhead,1,1,390,24,1.30,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,0,0,0.00,0.91,1330000,"[36,20,24,13,30,20,36,45,30,45,67,30]",2026-01-07,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
walkway repair,60,60,110,15,9.19,https://www.a1foundationcrackrepair.com/commercial-walkways-repair,0,0,0.00,0.58,20400000,"[15,21,21,43,43,43,34,43,43,53,43,28]",2026-03-02,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
a1 basement solutions,36,36,260,27,10.56,https://www.a1foundationcrackrepair.com/rhode-island,0,0,0.00,0.3,3130000,"[35,29,29,35,43,66,66,66,66,81,43,43]",2026-01-13,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
a1 basement solutions,38,38,260,27,10.56,https://www.a1foundationcrackrepair.com/rhode-island,0,0,0.00,0.3,3130000,"[35,29,29,35,43,66,66,66,66,81,43,43]",2026-01-13,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
a1 basement solutions,62,62,260,27,10.56,https://www.a1foundationcrackrepair.com/massachusetts,0,0,0.00,0.3,3130000,"[35,29,29,35,43,66,66,66,66,81,43,43]",2026-01-13,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
a1 basement solutions,80,80,260,27,10.56,https://www.a1foundationcrackrepair.com/contact,0,0,0.00,0.3,3130000,"[35,29,29,35,43,66,66,66,66,81,43,43]",2026-01-13,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dehumidifier setting basement,52,52,50,4,0.40,https://www.a1foundationcrackrepair.com/dehumidifier,0,0,0.00,0.23,581000,"[5,11,0,17,23,29,41,41,64,29,41,23]",2026-02-13,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
dehumidifier setting basement,63,63,50,4,0.40,https://www.a1foundationcrackrepair.com/dehumidifier,0,0,0.00,0.23,581000,"[5,11,0,17,23,29,41,41,64,29,41,23]",2026-02-13,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
bulkhead door,1,1,2400,25,1.14,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.84,9100000,"[29,43,36,54,81,65,81,81,43,65,65,65]",2026-03-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Things to know
what is bulkheads,78,78,40,19,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,0,0,0.00,0,3240000,"[0,3,0,0,53,0,0,3,15,100,3,0]",2026-01-25,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cracked foundation repair,48,48,1000,30,11.85,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.51,32600000,"[52,46,25,37,52,52,46,84,84,52,52,52]",2026-02-16,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
jlb foundation repair & basement waterproofing,84,84,40,34,6.17,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.24,4270,"[18,18,18,18,18,18,100,100,18,18,18,18]",2026-02-25,"Local pack, Sitelinks, Video, Image, Related searches","commercial, navigational",Organic
concrete & foundation repair,75,75,170,44,16.40,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.13,47900000,"[0,2,2,44,100,81,2,2,2,2,2,2]",2026-02-02,"Local pack, Video, Image, Video Carousel, People also ask, Related searches",commercial,Organic
cracks in cement basement floor,55,55,40,14,4.82,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,0,0,0.00,0.07,4900000,"[0,5,11,23,5,23,64,11,17,11,29,100]",2026-01-09,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cinder block foundation repair near me,58,58,30,25,8.58,https://www.a1foundationcrackrepair.com/block-foundation-crack-repair,0,0,0.00,0.98,2020000,"[9,9,9,9,14,23,14,14,19,9,9,9]",2026-01-20,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
wall leakage repair,57,57,40,26,15.29,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.62,31200000,"[42,57,57,100,100,71,100,28,14,14,0,0]",2026-01-22,"Knowledge panel, Sitelinks, Video, Featured snippet, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
wall leakage repair,77,77,40,26,15.29,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.62,31200000,"[42,57,57,100,100,71,100,28,14,14,0,0]",2026-01-22,"Knowledge panel, Sitelinks, Video, Featured snippet, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
floor and wall cracks,60,60,90,8,0.00,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0,32300000,"[50,78,78,50,7,28,100,100,78,50,14]",2026-02-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
ct dry basement,45,45,110,,6.45,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.39,5810000,"[11,15,11,15,8,28,28,44,18,23,18,23]",2026-01-25,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
ct dry basement,52,52,110,,6.45,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.39,5810000,"[11,15,11,15,8,28,28,44,18,23,18,23]",2026-01-25,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
finished stone basement,46,46,50,,6.57,https://www.a1foundationcrackrepair.com/stone-foundation,0,0,0.00,0.29,21100000,"[33,33,23,23,23,19,33,33,23,33,23,23]",2026-01-22,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
what is a bulk head,69,69,590,17,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,0,0,0.00,0,23400000,"[21,26,59,59,39,72,39,100,72,59,72,39]",2026-02-13,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
best way to stop water leakage,1,1,40,16,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,0.93,173000000,"[100,63,100,18,18,18,18,18,18,18,0,18]",2026-02-24,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",commercial,People also ask
lolly columns,3,3,1300,10,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-worry-about-replacing-a-rusted-lally-column,0,0,0.00,0.75,1430000,"[30,24,55,34,34,65,34,55,34,65,34,44]",2026-02-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, Things to know, AI overview","commercial, informational",Things to know
lolly columns,3,3,1300,10,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/why-are-lally-columns-so-important,0,0,0.00,0.75,1430000,"[30,24,55,34,34,65,34,55,34,65,34,44]",2026-02-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, Things to know, AI overview","commercial, informational",Things to know
lolly columns,3,3,1300,10,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-worry-about-replacing-a-rusted-lally-column,0,0,0.00,0.75,1430000,"[30,24,55,34,34,65,34,55,34,65,34,44]",2026-02-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, Things to know, AI overview","commercial, informational",Things to know
lolly columns,3,3,1300,10,0.55,https://www.a1foundationcrackrepair.com/lp-lally-column-replacement,0,0,0.00,0.75,1430000,"[30,24,55,34,34,65,34,55,34,65,34,44]",2026-02-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, Things to know, AI overview","commercial, informational",Things to know
lolly columns,3,3,1300,10,0.55,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/installing-lally-columns-what-not-to-do,0,0,0.00,0.75,1430000,"[30,24,55,34,34,65,34,55,34,65,34,44]",2026-02-28,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, Things to know, AI overview","commercial, informational",Things to know
chimney leaking into basement,25,25,30,4,10.77,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/panicked-new-homeowner-finds-basement-water-from-leaky-chimney,0,0,0.00,0.65,2750000,"[14,28,21,14,35,35,14,14,14,14,14,14]",2026-02-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
repairing stone foundation,33,33,50,14,7.89,https://www.a1foundationcrackrepair.com/stone-foundation,0,0,0.00,0.17,9640000,"[28,21,65,0,0,0,0,9,15,15,6,9]",2026-01-06,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
concrete spalling foundation,95,95,70,0,9.59,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-repair-exterior-foundation-walls-that-are-damaged-pitted-or-spalled,0,0,0.00,0.05,440000,"[21,28,35,100,50,64,35,50,78,64,78,35]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
flex seal to seal basement,19,19,70,27,2.10,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,797000,"[35,35,50,35,50,50,50,50,50,28,35,35]",2026-01-26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
flex seal to seal basement,75,75,70,27,2.10,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/does-flexseal-work-on-basement-water-problems-nashua-nh,0,0,0.00,1,797000,"[35,35,50,35,50,50,50,50,50,28,35,35]",2026-01-26,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
concrete foundation leak repair,82,82,50,5,16.86,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.8,7420000,"[9,9,9,9,9,9,9,100,80,9,9,9]",2026-02-28,"Local pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview","commercial, informational",Organic
fix basement wall leak,78,78,260,18,13.90,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.32,6390000,"[44,35,44,44,66,44,44,54,35,18,28,35]",2026-02-06,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
fix basement wall leak,90,90,260,18,13.90,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.32,6390000,"[44,35,44,44,66,44,44,54,35,18,28,35]",2026-02-06,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
patch for water leak,1,1,30,24,2.79,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,16100000,"[9,52,9,9,9,9,9,9,9,9,9,9]",2026-02-24,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
contractors concrete foundation repair,25,25,40,26,0.00,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.14,22000000,"[18,18,18,18,18,18,100,100,18,18,18,18]",2026-02-25,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
cracked sandstone,87,87,110,17,0.00,https://www.a1foundationcrackrepair.com/stone-foundation,0,0,0.00,0.01,128000000,"[29,41,52,64,82,100,64,52,82,52,64,41]",2026-02-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
