Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
horizontal vs vertical cracks in foundation,91,91,70,3,2.90,https://crackx.com/different-types-of-foundation-cracks/,0,0,0.00,0.23,13900000,"[17,17,23,17,17,17,12,17,17,17,17,17]",2026-01-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
foundation soil,32,32,110,,8.48,https://crackx.com/soil-types-affect-building-foundations/,0,0,0.00,0.16,272000000,"[17,23,41,82,100,100,82,64,52,64,64,52]",2026-02-06,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
topeka foundation repair,2,2,90,9,28.11,https://crackx.com/foundation-repair/,0,0,0.00,0.85,505000,"[52,64,64,29,29,64,100,82,23,11,17,23]",2026-03-04,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
foundation crack repair yorktown,72,72,40,3,0.00,https://crackx.com/maine/,0,0,0.00,0,169000,"[40,100,100]",2026-02-21,"Local pack, Video, Related searches, AI overview",commercial,Organic
concrete x,32,32,70,43,7.17,https://crackx.com/,0,0,0.00,0.08,321000000,"[26,11,26,34,34,65,26,34,42,34,26,11]",2026-02-03,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",commercial,Organic
elevator maintenance co,76,76,140,29,7.12,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.21,24900000,"[0,2,2,9,7,7,5,39,39,26,17,32]",2026-01-20,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
elevator maintenance co,90,90,140,29,7.12,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.21,24900000,"[0,2,2,9,7,7,5,39,39,26,17,32]",2026-01-20,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
foundation repair testimonials,1,1,50,0,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0,849000000,"[28,28,71,42,71,71,57,28,100,100,100,100]",2026-01-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
hairline foundation crack,14,14,30,7,4.10,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.29,1440000,"[18,18,27,27,27,36,27,36,36,36,27,27]",2026-01-31,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
hairline foundation crack,49,49,30,7,4.10,https://crackx.com/a-step-by-step-guide-to-repairing-hairline-cracks-in-foundation-wall/,0,0,0.00,0.29,1440000,"[18,18,27,27,27,36,27,36,36,36,27,27]",2026-01-31,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cracks on ground,76,76,70,22,0.00,https://crackx.com/5-reasons-why-your-concrete-floor-is-cracking/,0,0,0.00,0.01,68700000,"[0,3,3,3,2,4,3,4,4,0,0,0]",2026-01-15,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
how do i repair bowed foundation walls,33,33,110,0,0.00,https://crackx.com/6-proven-methods-for-repairing-bowed-basement-walls/,0,0,0.00,0,399000,"[15,26,19,26,34,34,100,100,42,19,34]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best soil for building foundation,19,19,50,1,0.00,https://crackx.com/soil-types-affect-building-foundations/,0,0,0.00,0.08,212000000,"[18,45,36,81,45,63,45,36,45,45,63,63]",2026-02-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
best soil for building foundation,41,41,50,1,0.00,https://crackx.com/how-to-select-the-best-soil-for-your-foundation/,0,0,0.00,0.08,212000000,"[18,45,36,81,45,63,45,36,45,45,63,63]",2026-02-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
floor repair service,49,49,140,20,8.86,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.33,337000000,"[15,80,26,34,42,100,34,65,80,42,34,34]",2026-01-20,"Local pack, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
horizontal hairline,51,51,40,3,0.00,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,0,0,0.00,0.01,9980000,"[50,14,78,14,14,14,50,100,14,14,14,14]",2026-01-24,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
centex foundation repair austin,3,3,30,38,10.54,https://crackx.com/foundation-repair/,0,0,0.00,0.59,24100,"[18,100,18,18,18,18,18,18,18,18,18,18]",2026-02-28,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
foundation repairing,1,1,140,35,21.78,https://crackx.com/how-to-keep-your-foundation-strong-maintenance-tips/,0,0,0.00,0.32,414000000,"[31,25,1,1,1,1,0,4,7,3,1,2]",2026-02-25,"Local pack, Video, Image, People also ask, Related searches, Things to know, AI overview",commercial,Things to know
cost to fix cracks in foundation,1,1,210,13,7.62,https://crackx.com/do-foundation-cracks-affect-home-value-what-you-should-know/,0,0,0.00,0.41,9180000,"[0,0,100,0,0,0,2,0,0,0,0,0]",2026-03-04,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",commercial,People also ask
foundation repair raytown,3,3,50,6,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0,136,"[77,77,55,22,22,55,11,100,44,55,55,55]",2026-03-04,"Local pack, Video, Image, People also ask",commercial,People also ask
chase wellesley,52,52,70,28,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.02,1260000,"[50,50,50,64,78,50,50,50,50,50,50,50]",2026-01-20,"Knowledge panel, Video, Image, People also ask, Related searches","navigational, transactional",Organic
cracks in your foundation,3,3,90,11,0.00,https://crackx.com/do-foundation-cracks-affect-home-value-what-you-should-know/,0,0,0.00,0.4,35900000,"[9,9,9,66,9,100,80,80,66,9,23,19]",2026-02-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Things to know
cracks in your foundation,69,69,90,11,0.00,https://crackx.com/faqs-about-foundation-cracks-every-homeowner-should-read/,0,0,0.00,0.4,35900000,"[9,9,9,66,9,100,80,80,66,9,23,19]",2026-02-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Organic
memphis foundation repair,3,3,30,16,114.03,https://crackx.com/foundation-repair/,0,0,0.00,0.95,5340000,"[28,42,57,28,71,28,28,71,28,71,28,28]",2026-02-22,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
building foundation types,19,19,50,16,0.99,https://crackx.com/types-of-commercial-building-foundations/,0,0,0.00,0.03,789000000,"[63,81,27,45,63,63,36,45,27,63,45,36]",2026-02-06,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
shimming foundation piers,15,15,30,0,5.69,https://crackx.com/understanding-different-types-of-foundation-repair-methods/,0,0,0.00,0.49,43900,"[18,18,18,18,18,18,100,18,18,45,18,18]",2026-01-08,"Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
pinnacle foundation repair grand prairie,3,3,30,31,6.40,https://crackx.com/foundation-repair/,0,0,0.00,0.79,144000,"[50,0,50,100,100,100,50,75,75,100,100,100]",2026-01-20,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
attack a crack,81,81,140,32,2.98,https://crackx.com/natick-massachusetts/,0,0,0.00,0.09,139000000,"[33,33,66,80,52,80,66,80,80,66,66,66]",2026-02-28,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
attack a crack,89,89,140,32,2.98,https://crackx.com/natick-massachusetts/,0,0,0.00,0.09,139000000,"[33,33,66,80,52,80,66,80,80,66,66,66]",2026-02-28,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
control of cracks in concrete,91,91,50,16,0.00,https://crackx.com/cracks-in-concrete/,0,0,0.00,0.06,21900000,"[18,18,18,18,18,18,18,18,18,100,100,100]",2026-01-25,"Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
how to repair crack in foundation wall,61,61,50,21,2.46,https://crackx.com/fix-cracks-in-a-foundation-wall/,0,0,0.00,1,48600000,"[17,29,29,41,41,41,29,29,41,23,41,29]",2026-01-20,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
crack basement floor,22,12,90,6,4.84,https://crackx.com/basement-floor-cracks/,0,0,0.00,0.09,220,"[3,3,6,9,15,12,21,3,43,81,81,21]",2026-03-09,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
crack basement floor,84,94,90,6,4.84,https://crackx.com/repair-basement-floor-cracks/,0,0,0.00,0.09,220,"[3,3,6,9,15,12,21,3,43,81,81,21]",2026-03-09,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
piering a house,73,73,140,0,9.11,https://crackx.com/piering-vs-slabjacking-which-foundation-repair-method-is-right-for-you/,0,0,0.00,0.54,119000,"[5,7,5,7,23,100,82,100,66,5,5,5]",2026-02-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
preventing basement flooding,62,62,590,34,13.80,https://crackx.com/preventing-basement-flooding-in-rhode-island-a-guide/,0,0,0.00,0.03,6530000,"[0,0,0,0,41,13,5,16,100,79,1,1]",2026-01-07,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches, Short videos",informational,Organic
foam to fill in cracks,66,66,170,12,0.36,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,1,25900000,"[43,34,21,28,100,100,81,65,43,43,34,43]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",transactional,Organic
foundation crack repair greenlawn,62,62,50,1,0.00,https://crackx.com/,0,0,0.00,0,138000,"[42,71,100]",2026-02-20,"Local pack, Video, People also ask",commercial,Organic
mold maintenance near me,67,67,40,30,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0,37000000,"[0,100,100,100,71,71,42,0,0]",2026-01-20,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
mold maintenance near me,71,71,40,30,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0,37000000,"[0,100,100,100,71,71,42,0,0]",2026-01-20,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
foundation repair melbourne,1,1,40,10,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0.12,4750000,"[21,21,14,35,50,50,35,14,14,14,14,14]",2026-02-17,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
water proofing cost,57,57,40,21,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.64,490000000,"[11,11,11,11,11,100,82,11,11,11,11,11]",2026-01-20,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
water leak foundation repair,93,93,110,21,35.46,https://crackx.com/maine/,0,0,0.00,0.97,12700000,"[12,6,12,34,15,12,9,28,43,100,81,65]",2026-01-06,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",transactional,Organic
foundation maintenance guide,51,51,70,1,0.00,https://crackx.com/maintain-a-repaired-foundation/,0,0,0.00,0,615000000,"[7,14,21,21,21,50,28,100,100,100,100,100]",2026-03-04,"Video, AI overview",informational,Organic
foundation maintenance guide,87,87,70,1,0.00,https://crackx.com/how-to-keep-your-foundation-strong-maintenance-tips/,0,0,0.00,0,615000000,"[7,14,21,21,21,50,28,100,100,100,100,100]",2026-03-04,"Video, AI overview",informational,Organic
are cracks in basement walls normal,46,46,40,5,2.39,https://crackx.com/what-happens-if-you-dont-repair-basement-wall-cracks-right-away/,0,0,0.00,0.32,5670000,"[9,14,9,9,23,23,23,23,33,19,19,33]",2026-03-04,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
crack in basement floor repair,1,1,110,24,4.20,https://crackx.com/foundation-floor-crack-repair/,0,0,0.00,0.17,7310000,"[0,14,4,9,9,33,52,80,80,100,80,100]",2026-02-25,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
crack in basement floor repair,1,1,110,24,4.20,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.17,7310000,"[0,14,4,9,9,33,52,80,80,100,80,100]",2026-02-25,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
crack in basement floor repair,12,12,110,24,4.20,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,0,0,0.00,0.17,7310000,"[0,14,4,9,9,33,52,80,80,100,80,100]",2026-02-25,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
yellow efflorescence,87,87,70,14,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.02,1400000,"[18,18,18,18,100,100,100,100,100,63,81,63]",2026-01-23,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation cracks,71,71,8100,12,7.24,https://crackx.com/the-dangers-of-ignoring-foundation-cracks-when-to-take-action/,0,0,0.00,0.41,205,"[15,13,66,54,66,66,66,100,81,81,81,81]",2026-03-07,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
custom bulkhead doors,19,19,40,44,3.18,https://crackx.com/bulkhead-door-installation-of-maine/,0,0,0.00,0.96,1640000,"[64,14,35,14,14,14,14,14,78,78,14,14]",2026-01-12,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
why are cracks in asphalt bad,1,1,40,4,0.00,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0,3730000,"[0,0,28,42,28,42,100,100,71,100,100]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
why are cracks in asphalt bad,1,1,40,4,0.00,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0,3730000,"[0,0,28,42,28,42,100,100,71,100,100]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
foundation repair augusta,2,2,70,16,21.08,https://crackx.com/foundation-repair/,0,0,0.00,0.84,1190000,"[50,50,50,21,64,64,78,35,50,35,50,28]",2026-02-26,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
foundation repairs contractors,1,1,50,31,18.11,https://crackx.com/foundation-repair/,0,0,0.00,0.72,14400000,"[7,7,15,19,19,26,26,42,42,26,19,7]",2026-01-16,"Local pack, Video, People also ask, Related searches",commercial,People also ask
houston tx foundation repair,3,3,50,38,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0.71,5200000,"[3,3,3,6,6,8,3,11,15,11,11,15]",2026-02-08,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
hairline crack in foundation wall,1,1,40,5,5.20,https://crackx.com/a-step-by-step-guide-to-repairing-hairline-cracks-in-foundation-wall/,0,0,0.00,0.22,972000,"[18,18,45,27,36,27,18,63,63,45,45,63]",2026-02-25,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
hairline crack in foundation wall,10,10,40,5,5.20,https://crackx.com/a-step-by-step-guide-to-repairing-hairline-cracks-in-foundation-wall/,0,0,0.00,0.22,972000,"[18,18,45,27,36,27,18,63,63,45,45,63]",2026-02-25,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
hydrostatic pressure on basement walls,75,58,30,3,5.44,https://crackx.com/how-hydrostatic-pressure-causes-foundation-damage-and-how-to-prevent-it/,0,0,0.00,0.21,485000,"[40,40,40,40,40,100,100,40,40,40,40,40]",2026-03-08,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
avoid basement flooding,1,1,40,,12.60,https://crackx.com/cost-effective-basement-waterproofing-solutions/,0,0,0.00,0.93,5560000,"[7,7,7,7,42,7,7,42,7,7,7,7]",2026-01-20,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,People also ask
avoid basement flooding,95,95,40,,12.60,https://crackx.com/understanding-the-causes-and-prevention-tips-for-basement-flooding/,0,0,0.00,0.93,5560000,"[7,7,7,7,42,7,7,42,7,7,7,7]",2026-01-20,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
how to fill cracks next to basement foundation,22,22,50,3,0.00,https://crackx.com/fix-cracks-in-a-foundation-wall/,0,0,0.00,0,7850000,"[0,100,100]",2026-02-21,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
what is a crack den,68,68,140,23,0.00,https://crackx.com/,0,0,0.00,0,172000000,"[100,34,26,80,65,53,80,53,26,42,65,42]",2026-01-28,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
foundation repair farmers branch tx,1,1,70,4,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0.86,317000,"[18,18,18,18,100,100,18,100,100,100,81,100]",2026-01-17,"Local pack, Video, Image, People also ask",commercial,People also ask
hatchway door,99,99,50,12,1.95,https://crackx.com/merrimack-valley-massachusetts/bilco-basement-bulkhead-doors-installation/,0,0,0.00,0.74,228000,"[13,8,0,2,2,0,3,0,0,1,0,1]",2026-01-20,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches",commercial,Organic
applying epoxy to garage floor,86,86,50,20,2.47,https://crackx.com/epoxy-garage-floor-coating/,0,0,0.00,0.91,9850000,"[11,11,11,11,11,11,64,23,52,29,29,41]",2026-02-25,"Image pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
foundation repair raleigh nc,1,1,210,4,35.05,https://crackx.com/foundation-repair/,0,0,0.00,0.32,2570000,"[23,66,43,53,66,43,53,53,35,53,53,53]",2026-02-17,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
bulkhead near me,21,21,40,21,0.00,https://crackx.com/bulkhead-door-installation-of-maine/,0,0,0.00,0.45,13600000,"[11,11,0,11,0,0,0,100,77,77,100,100]",2026-01-25,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
bulkhead near me,92,92,40,21,0.00,https://crackx.com/bulkhead-door-installation-natick/,0,0,0.00,0.45,13600000,"[11,11,0,11,0,0,0,100,77,77,100,100]",2026-01-25,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
home crack repair,51,51,70,28,19.55,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,1,262000000,"[34,12,6,6,6,34,6,6,100,34,21,21]",2026-01-20,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
fixing crack in foundation from outside,50,50,90,8,8.01,https://crackx.com/connecticut/,0,0,0.00,0.93,8660000,"[0,0,0,23,52,100,100,82,41,64,82,64]",2026-02-07,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
fixing crack in foundation from outside,92,92,90,8,8.01,https://crackx.com/connecticut/,0,0,0.00,0.93,8660000,"[0,0,0,23,52,100,100,82,41,64,82,64]",2026-02-07,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
cold water foundation,12,12,90,15,0.00,https://crackx.com/cold-water-impact-home-foundations/,0,0,0.00,0,0,"[33,52,42,42,33,42,42,42,33,33,33,52]",2026-03-08,"Knowledge panel, Sitelinks, Video, Related searches","navigational, transactional",Organic
foundation repair erie pa,2,2,140,7,5.47,https://crackx.com/foundation-repair/,0,0,0.00,0.8,918000,"[52,100,80,66,66,66,80,66,52,52,23,42]",2026-03-02,"Knowledge panel, Video, Image, People also ask, Related searches",commercial,People also ask
portland foundation repair,3,3,50,4,15.55,https://crackx.com/foundation-repair/,0,0,0.00,0.91,13000000,"[50,14,21,50,100,7,0,35,35,28,21,28]",2026-02-27,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
portland foundation repair,36,36,50,4,15.55,https://crackx.com/portland-maine-2/,0,0,0.00,0.91,13000000,"[50,14,21,50,100,7,0,35,35,28,21,28]",2026-02-27,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
portland foundation repair,66,66,50,4,15.55,https://crackx.com/portland-maine-2/,0,0,0.00,0.91,13000000,"[50,14,21,50,100,7,0,35,35,28,21,28]",2026-02-27,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
foundation repair charleston sc,2,2,110,4,22.99,https://crackx.com/foundation-repair/,0,0,0.00,0.6,3020000,"[42,66,66,80,66,52,52,66,66,42,23,42]",2026-02-22,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
foundation repair grand rapids mi,1,1,110,46,32.00,https://crackx.com/foundation-repair/,0,0,0.00,0.58,671000,"[34,34,65,42,19,65,42,15,65,65,42,19]",2026-01-16,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
crack textures,8,8,50,17,1.98,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0,12100000,"[0,0,0,0,35,0,100,0,0,0,0,0]",2026-02-02,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
foundation repair ann arbor mi,6,6,90,7,22.97,https://crackx.com/foundation-repair/,0,0,0.00,0.67,884000,"[19,19,26,19,26,26,19,53,65,34,34,15]",2026-02-26,"Knowledge panel, Video, Image, People also ask, Related searches","commercial, informational",People also ask
bulkhead door prices,36,36,30,11,1.30,https://crackx.com/bulkhead-door-installation-of-maine/,0,0,0.00,0.45,5230000,"[18,18,100,18,18,18,18,18,18,18,18,18]",2026-01-03,"Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches",transactional,Organic
bulkhead door prices,60,60,30,11,1.30,https://crackx.com/bulkhead-door-installation-natick/,0,0,0.00,0.45,5230000,"[18,18,100,18,18,18,18,18,18,18,18,18]",2026-01-03,"Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches",transactional,Organic
bulkhead company near me,64,64,50,8,7.07,https://crackx.com/bulkhead-door-installation-natick/,0,0,0.00,0.49,6030000,"[77,33,33,22,33,33,11,77,77,77,100,77]",2026-02-08,"Local pack, Video, People also ask, Related searches",transactional,Organic
align foundation repair,2,2,140,29,8.03,https://crackx.com/foundation-repair/,0,0,0.00,0.47,40400000,"[53,65,53,65,53,42,42,53,53,65,65,53]",2026-02-22,"Knowledge panel, Sitelinks, Video, Ads bottom, People also ask, Related searches",informational,People also ask
foundation repair massachusetts,14,14,210,26,11.73,https://crackx.com/natick-massachusetts/,0,0,0.00,0.48,50000000,"[28,28,28,35,28,35,28,100,100,100,82,82]",2026-01-31,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
foundation repair massachusetts,36,36,210,26,11.73,https://crackx.com/fieldstone-foundation-repair-special-merrimack-valley/,0,0,0.00,0.48,50000000,"[28,28,28,35,28,35,28,100,100,100,82,82]",2026-01-31,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
cracks wall,1,1,30,24,5.06,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0.15,79200000,"[0,7,11,3,11,0,0,26,34,19,11,11]",2026-02-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
cracks wall,1,1,30,24,5.06,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.15,79200000,"[0,7,11,3,11,0,0,26,34,19,11,11]",2026-02-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
cracks wall,73,73,30,24,5.06,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,0,0,0.00,0.15,79200000,"[0,7,11,3,11,0,0,26,34,19,11,11]",2026-02-08,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
how to repair crack in basement floor,1,1,30,22,1.63,https://crackx.com/foundation-floor-crack-repair/,0,0,0.00,0.16,26300000,"[28,28,28,42,42,42,28,42,42,71,100,100]",2026-02-22,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,AI overview
how to repair crack in basement floor,1,1,30,22,1.63,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.16,26300000,"[28,28,28,42,42,42,28,42,42,71,100,100]",2026-02-22,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
new bulkhead,21,21,50,21,1.85,https://crackx.com/bulkhead-door-installation-of-maine/,0,0,0.00,0.6,19400000,"[18,18,18,100,18,18,18,81,63,100,100,63]",2026-02-10,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
new bulkhead,51,51,50,21,1.85,https://crackx.com/merrimack-valley-massachusetts/bulkhead-door-replacement-chelmsford/,0,0,0.00,0.6,19400000,"[18,18,18,100,18,18,18,81,63,100,100,63]",2026-02-10,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
fix cracked concrete floor,51,51,30,36,2.60,https://crackx.com/5-easy-solutions-for-fixing-concrete-floor-cracks/,0,0,0.00,0.98,15100000,"[0,22,11,22,11,11,33,77,100,44,33,55]",2026-01-25,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
piering a foundation,57,57,40,0,9.63,https://crackx.com/piering-vs-slabjacking-which-foundation-repair-method-is-right-for-you/,0,0,0.00,0.35,183000,"[18,18,18,100,9,27,36,36,27,27,45,36]",2026-02-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Things to know, AI overview",informational,Organic
elastomeric joint sealant,34,34,170,16,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.77,1030000,"[42,53,65,80,65,65,53,80,80,100,100,65]",2026-01-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, AI overview",informational,Organic
cracking wall,1,1,70,17,6.71,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,0,0,0.00,0.1,373000000,"[0,0,0,0,1,1,1,0,25,2,3,4]",2026-01-16,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, Discussions and forums, AI overview",informational,People also ask
cracking wall,8,8,70,17,6.71,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,0,0,0.00,0.1,373000000,"[0,0,0,0,1,1,1,0,25,2,3,4]",2026-01-16,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Things to know, Discussions and forums, AI overview",informational,Organic
